qa_id,question,route,split,note
Q001,TPE 매트 두께가 몇 mm인가요?,PRODUCT_INFO,eval,
Q002,천연고무 매트는 무게가 얼마나 되나요?,PRODUCT_INFO,eval,
Q003,요가복 세트 M 사이즈는 허리 몇 인치까지 맞나요?,PRODUCT_INFO,eval,
Q004,코르크 블록 세트는 몇 개 들어있나요?,PRODUCT_INFO,eval,
Q005,논슬립 양말 소재가 뭔가요?,PRODUCT_INFO,eval,
Q006,명상 쿠션 충전재는 무엇인가요?,PRODUCT_INFO,eval,
Q007,스트랩 길이가 어떻게 되나요?,PRODUCT_INFO,eval,
Q008,요가복 세탁기에 돌려도 되나요?,PRODUCT_INFO,eval,
Q009,천연고무 매트에서 냄새가 난다던데 사실인가요?,PRODUCT_INFO,eval,
Q010,요가타월 색상이 어떤 게 있나요?,PRODUCT_INFO,eval,
Q011,프리미엄 매트 가로 세로 치수를 알려주세요.,PRODUCT_INFO,eval,
Q012,양말은 사이즈가 여러 개인가요?,PRODUCT_INFO,eval,
Q013,명상 쿠션 세트에 아이필로우도 같이 오나요?,PRODUCT_INFO,eval,
Q014,요가복 레깅스는 어떤 소재로 만들어졌나요?,PRODUCT_INFO,eval,
Q015,코르크 블록 표면이 미끄럽지 않나요?,PRODUCT_INFO,eval,
Q016,스트랩 색상은 크림하고 차콜만 있나요?,PRODUCT_INFO,eval,
Q017,프리미엄 매트 라벤더 색 재고 있나요?,PRODUCT_INFO,eval,
Q018,요가타월 지금 품절인가요?,PRODUCT_INFO,eval,
Q019,양말 컬러믹스는 어떤 색들로 구성되나요?,PRODUCT_INFO,eval,
Q020,천연고무 매트 그립이 TPE보다 센가요?,PRODUCT_INFO,eval,
Q021,요가복 세트에서 레깅스만 따로 살 수 있나요?,ORDER_PLACE,eval,
Q022,코르크 블록 하나만 구매 가능한가요?,ORDER_PLACE,eval,
Q023,프리미엄 매트 세이지그린으로 지금 주문할게요.,ORDER_PLACE,eval,
Q024,명상 쿠션만 따로 살 수 있나요?,ORDER_PLACE,eval,
Q025,양말 블랙으로 2세트 주문하려고 합니다.,ORDER_PLACE,eval,
Q026,SM-0001 주문 색상을 차콜로 바꿀 수 있을까요?,ORDER_PLACE,eval,
Q027,SM-0004 주문 취소하고 싶어요.,ORDER_PLACE,eval,
Q028,요가복을 L 사이즈로 변경 가능한가요?,ORDER_PLACE,eval,
Q029,천연고무 매트 딥그린 지금 구매되나요?,ORDER_PLACE,eval,
Q030,SM-0002 수량을 하나 더 늘릴 수 있나요?,ORDER_PLACE,eval,
Q031,요가타월 지금 주문 가능한가요?,ORDER_PLACE,eval,
Q032,스트랩 크림색으로 3개 살게요.,ORDER_PLACE,eval,
Q033,한정판 명상 세트 아직 살 수 있나요?,ORDER_PLACE,eval,
Q034,요가복 세이지그린 L로 주문할게요.,ORDER_PLACE,eval,
Q035,SM-0004 입금 전인데 다른 상품으로 바꿔도 되나요?,ORDER_PLACE,eval,
Q036,양말 컬러믹스 재고 있으면 바로 결제할게요.,ORDER_PLACE,eval,
Q037,블록 세트 2개 주문 가능할까요?,ORDER_PLACE,eval,
Q038,요가타월 재입고되면 바로 사고 싶은데 예약 되나요?,ORDER_PLACE,eval,
Q039,양말 낱개로도 파나요?,ORDER_PLACE,eval,
Q040,매트 두 개 한꺼번에 사면 더 싸게 되나요?,ORDER_PLACE,eval,
Q041,7만원어치 사면 배송비 무료인가요?,SHIPPING,eval,
Q042,SM-0002 주문 지금 어디쯤 왔나요?,SHIPPING,eval,
Q043,제주도인데 배송비 더 붙나요?,SHIPPING,eval,
Q044,오늘 주문하면 언제 도착하나요?,SHIPPING,eval,
Q045,배송비가 얼마인가요?,SHIPPING,eval,
Q046,양말이랑 매트 같이 주문하면 한 번에 오나요?,SHIPPING,eval,
Q047,SM-0005 송장번호 알려주세요.,SHIPPING,eval,
Q048,몇 시까지 결제하면 오늘 나가나요?,SHIPPING,eval,
Q049,주말에도 배송되나요?,SHIPPING,eval,
Q050,SM-0002 언제 도착 예정인가요?,SHIPPING,eval,
Q051,택배사가 어디인가요?,SHIPPING,eval,
Q052,거제도인데 며칠 걸리나요?,SHIPPING,eval,
Q053,4만원어치면 배송비 내야 하나요?,SHIPPING,eval,
Q054,SM-0005 아직 출발 안 했나요?,SHIPPING,eval,
Q055,무료배송 기준이 얼마인가요?,SHIPPING,eval,
Q056,도서산간은 추가비용 있나요?,SHIPPING,eval,
Q057,배송 조회는 어떻게 하나요?,SHIPPING,eval,
Q058,SM-0003 배송 완료됐나요?,SHIPPING,eval,
Q059,출고까지 며칠 걸리나요?,SHIPPING,eval,
Q060,합배송은 어떻게 신청하나요?,SHIPPING,eval,
Q061,SM-0003 반품 접수했는데 언제 환불되나요?,RETURN_REFUND,eval,
Q062,단순변심으로 반품하면 배송비 누가 내나요?,RETURN_REFUND,eval,
Q063,받은 지 10일 됐는데 반품 되나요?,RETURN_REFUND,eval,
Q064,색상이 잘못 왔어요. 교환 가능한가요?,RETURN_REFUND,eval,
Q065,SM-0002 교환 진행 상황 알려주세요.,RETURN_REFUND,eval,
Q066,양말 한 번 신어봤는데 반품 되나요?,RETURN_REFUND,eval,
Q067,요가복 세탁했는데 반품 가능한가요?,RETURN_REFUND,eval,
Q068,R-0001 검품 끝났나요?,RETURN_REFUND,eval,
Q069,반품 배송비가 얼마인가요?,RETURN_REFUND,eval,
Q070,하자 있는 상품인데 배송비 제가 내야 하나요?,RETURN_REFUND,eval,
Q071,SM-0005 상품에 흠집이 있어서 반품 신청했어요. 어떻게 되나요?,RETURN_REFUND,eval,
Q072,환불은 며칠 걸리나요?,RETURN_REFUND,eval,
Q073,포장 뜯었는데 반품 되나요?,RETURN_REFUND,eval,
Q074,R-0003 환불 금액이 왜 그렇게 나왔나요?,RETURN_REFUND,eval,
Q075,반품 신청은 어디서 하나요?,RETURN_REFUND,eval,
Q076,SM-0001 반품한 거 처리됐나요?,RETURN_REFUND,eval,
Q077,수거는 언제 오나요?,RETURN_REFUND,eval,
Q078,카드 결제 취소는 언제 되나요?,RETURN_REFUND,eval,
Q079,오배송인데 왕복 배송비 제가 내야 하나요?,RETURN_REFUND,eval,
Q080,교환 말고 환불로 바꿀 수 있나요?,RETURN_REFUND,eval,
